time,lat,lon,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,RootMoist_inst,SoilTMP0_10cm_inst,Tair_f_inst,Rainf_tavg,Evap_tavg,SWdown_f_tavg,LWdown_f_tavg,Qs_acc,Qsb_acc,Qsm_acc,CanopInt_inst,provincia,canton
2020-01-01,-2.375,-76.625,35.601383,107.7633,740.5038,297.99966,298.37015,4.971089e-05,4.9695696e-05,203.02121,406.25858,0.04019484,0.06693295,0.0,0.09921774,Pastaza,Pastaza
2020-01-01,-2.375,-76.375,35.641857,107.83774,741.3095,298.12125,298.58743,4.9712096e-05,5.0456583e-05,206.38516,406.71573,0.03344597,0.069488265,0.0,0.10742742,Pastaza,Pastaza
2020-01-01,-2.125,-80.625,18.086065,62.067528,113.5669,301.30496,298.6088,1.1834677e-05,1.0208601e-05,228.33604,409.90198,0.00075439515,0.00039633064,0.0,0.028116936,Santa Elena,Santa Elena
2020-01-01,-2.125,-80.375,17.999674,57.80828,184.52795,301.15454,298.5328,1.1844355e-05,9.403762e-06,203.15411,414.2107,0.0005574194,0.0003264113,0.0,0.042024195,Santa Elena,Santa Elena
2020-01-01,-2.125,-80.125,17.41431,45.10041,127.31524,302.15863,299.55295,1.4397177e-05,1.02823915e-05,207.52113,420.66016,0.00075919356,0.0013265726,0.0,0.05037903,Guayas,Guayaquil
2020-01-01,-2.125,-79.875,28.139565,88.09526,199.81125,303.1945,301.04956,4.1878226e-05,1.3628763e-05,189.82706,427.1476,0.07028879,0.039682824,0.0,0.08445565,Guayas,Samborondón
2020-01-01,-2.125,-79.625,23.62402,73.1768,254.02087,302.31152,300.84003,4.2419757e-05,1.936344e-05,182.67532,426.42596,0.033615604,9e-05,0.0,0.08954839,Guayas,Milagro
2020-01-01,-2.125,-79.375,25.141989,82.726746,400.1796,301.92563,300.71204,4.227863e-05,2.0984407e-05,184.18129,422.1281,0.032578267,0.0005126613,0.0,0.09764516,Guayas,Naranjito
2020-01-01,-2.125,-79.125,22.918444,70.1825,343.08792,295.45816,293.8038,4.2578627e-05,1.6438844e-05,191.08076,380.78116,0.009069839,0.0006031855,0.0,0.10879032,Guayas,General Antonio Elizalde
2020-01-01,-2.125,-78.875,27.725098,84.32155,281.91196,291.61484,287.7574,6.528549e-05,2.2830778e-05,229.22891,369.11765,0.031229556,0.12905182,0.0,0.11942339,Chimborazo,Alausí
2020-01-01,-2.125,-78.625,33.937103,103.334526,399.31387,284.62793,281.1556,7.029032e-05,2.4741263e-05,214.39815,332.59964,0.055759516,0.1473087,0.0,0.13906452,Chimborazo,Guamote
2020-01-01,-2.125,-78.375,28.901564,87.015884,576.12213,286.65927,283.97614,7.017823e-05,2.42211e-05,182.69597,358.70544,0.0388596,0.1465148,0.0,0.14768144,Morona Santiago,Morona
2020-01-01,-2.125,-78.125,27.764673,83.21256,541.0596,293.38467,291.50723,6.9404836e-05,3.6877555e-05,185.45851,405.51123,0.023971451,0.052676935,0.0,0.13970162,Morona Santiago,Morona
2020-01-01,-2.125,-77.875,31.39348,95.28585,668.13605,293.46854,293.35538,6.085e-05,3.1831583e-05,154.15112,385.10272,0.03371367,0.1804144,0.0,0.13943952,Morona Santiago,Morona
2020-01-01,-2.125,-77.625,40.233944,121.21851,822.197,295.38837,295.80948,6.079395e-05,3.8680777e-05,162.48016,395.94205,0.13484359,0.069874436,0.0,0.13839516,Morona Santiago,Taisha
2020-01-01,-2.125,-77.375,36.354397,109.8903,756.12067,296.39087,296.78186,6.074637e-05,3.952957e-05,166.63129,399.84668,0.043377418,0.10311786,0.0,0.14216532,Pastaza,Pastaza
2020-01-01,-2.125,-77.125,36.30165,109.76727,755.0942,296.83405,297.3141,6.0836694e-05,4.0064246e-05,165.67447,402.45908,0.049395163,0.09955407,0.0,0.13726209,Pastaza,Pastaza
2020-01-01,-2.125,-76.875,35.906544,108.65349,747.56055,297.4269,297.68353,5.1529838e-05,4.4618682e-05,189.79802,404.3489,0.04000512,0.079093546,0.0,0.10918549,Pastaza,Pastaza
2020-01-01,-2.125,-76.625,35.74685,108.216515,745.20325,298.04373,298.4921,5.001613e-05,4.785094e-05,196.98653,407.43585,0.038755283,0.07684,0.0,0.10733064,Pastaza,Pastaza
2020-01-01,-2.125,-76.375,35.72031,108.09221,743.8385,298.2411,298.8305,5.001613e-05,4.9151746e-05,199.60802,408.00305,0.03530762,0.07431444,0.0,0.106423385,Pastaza,Pastaza
2020-01-01,-2.125,-76.125,35.767174,108.25845,745.1424,298.41516,298.9253,4.9929033e-05,4.8791262e-05,204.15858,407.35013,0.030893104,0.076025285,0.0,0.1101371,Pastaza,Pastaza
2020-01-01,-1.875,-80.625,24.665052,73.1421,380.5568,298.81635,297.25653,2.8156452e-05,2.104207e-05,187.7727,412.2789,0.0037544759,0.0005216532,0.0,0.07526613,Santa Elena,Santa Elena
2020-01-01,-1.875,-80.375,23.297205,63.924313,185.64236,300.2815,298.2016,2.834355e-05,1.7450537e-05,191.0868,418.0221,0.0037506048,0.0020320967,0.0,0.07835887,Guayas,Pedro Carbo
2020-01-01,-1.875,-80.125,22.540834,56.69052,192.96404,301.94214,299.6708,2.9853629e-05,1.8806988e-05,200.24992,426.52927,0.00384,0.0014342743,0.0,0.07809678,Guayas,Isidro Ayora
2020-01-01,-1.875,-79.875,27.370504,91.3482,491.62497,300.83035,300.4096,4.071895e-05,2.297715e-05,177.99976,405.72388,0.03985464,0.00034600808,0.0,0.08955242,Guayas,Daule
2020-01-01,-1.875,-79.625,28.344402,93.91299,537.40125,300.64978,300.5474,4.0735886e-05,2.3068278e-05,167.51775,407.76242,0.04099262,0.00018495967,0.0,0.11145968,Los Rios,Babahoyo
2020-01-01,-1.875,-79.375,29.651125,96.99672,608.25964,299.93524,300.19232,4.0451614e-05,2.092231e-05,158.85185,402.3694,0.037530687,6.9758066e-06,0.0,0.11893952,Los Rios,Babahoyo
2020-01-01,-1.875,-79.125,27.758661,83.82314,323.77075,292.0942,291.26828,4.110484e-05,1.286465e-05,168.81903,351.49792,0.01341875,0.016094556,0.0,0.119012095,Bolivar,San Miguel
2020-01-01,-1.875,-78.875,28.27983,86.12632,341.47595,290.23074,285.85184,6.319193e-05,2.5661828e-05,231.06935,374.52087,0.04005016,0.15666585,0.0,0.11066532,Chimborazo,Colta
2020-01-01,-1.875,-78.625,28.827755,87.518524,336.95953,286.1875,281.61533,6.761573e-05,2.455336e-05,229.94693,344.1662,0.045083668,0.19679084,0.0,0.12377419,Chimborazo,Riobamba
2020-01-01,-1.875,-78.375,29.331104,88.548485,494.15506,286.29947,282.6989,6.720887e-05,2.3101746e-05,194.16899,361.8341,0.044695765,0.19808802,0.0,0.14591533,Morona Santiago,Pablo Sexto
2020-01-01,-1.875,-78.125,28.315424,85.18973,558.44556,293.8945,291.5761,6.666895e-05,3.9155777e-05,187.86295,423.00693,0.028012984,0.079624474,0.0,0.12018952,Morona Santiago,Palora
2020-01-01,-1.875,-77.875,31.317495,95.08701,668.4735,294.3262,294.29968,6.6643144e-05,3.1688036e-05,152.48157,387.30344,0.052497298,0.19997391,0.0,0.15671371,Morona Santiago,Huamboya
2020-01-01,-1.875,-77.625,36.48591,110.377846,763.1856,295.57455,295.92325,6.676734e-05,3.5901747e-05,160.38737,392.77023,0.078955725,0.14485927,0.0,0.14634274,Pastaza,Pastaza
2020-01-01,-1.875,-77.375,36.396378,110.03022,758.8332,296.12457,296.62347,6.698024e-05,3.7716665e-05,164.8367,394.86484,0.08414734,0.12568,0.0,0.14256048,Pastaza,Pastaza
